payable_class_id,payable_class_event,start_date,end_date,is_general,payable_class_registration_category,payable_class_nationality,payable_class_payhead_id,payable_class_amount,payable_class_hastag,payable-class_dor,payable_class_dirty
1,1,NULL,01-02-2016,0,1,1,1,4500,NULL,18-01-2016 13:28,0
2,1,NULL,01-02-2016,1,1,1,1,5500,NULL,19-01-2016 05:23,0
3,1,02-02-2016,15-03-2016,0,1,1,1,5500,NULL,19-01-2016 05:24,0
4,1,02-02-2016,15-03-2016,1,1,1,1,6500,NULL,19-01-2016 05:24,0
5,1,16-03-2016,18-03-2016,0,1,1,1,6500,NULL,19-01-2015 05:26,0
6,1,16-03-2016,18-03-2016,1,1,1,1,7500,NULL,19-01-2015 05:26,0
7,1,NULL,01-02-2016,0,2,1,1,6000,NULL,18-01-2015 07:58,0
8,1,NULL,01-02-2016,1,2,1,1,7000,NULL,18-01-2015 23:53,0
9,1,02-02-2016,15-03-2016,0,2,1,1,7000,NULL,18-01-2015 23:54,0
10,1,02-02-2016,15-03-2016,1,2,1,1,8000,NULL,18-01-2015 23:54,0
11,1,16-03-2016,18-03-2016,0,2,1,1,8000,NULL,18-01-2015 23:56,0
12,1,16-03-2016,18-03-2016,1,2,1,1,9000,NULL,18-01-2015 23:56,0
13,1,NULL,01-02-2016,0,3,1,1,6000,NULL,18-01-2015 07:58,0
14,1,NULL,01-02-2016,1,3,1,1,7000,NULL,18-01-2015 23:53,0
15,1,02-02-2016,15-03-2016,0,3,1,1,7000,NULL,18-01-2015 23:54,0
16,1,02-02-2016,15-03-2016,1,3,1,1,8000,NULL,18-01-2015 23:54,0
17,1,16-03-2016,18-03-2016,0,3,1,1,8000,NULL,18-01-2015 23:56,0
18,1,16-03-2016,18-03-2016,1,3,1,1,9000,NULL,18-01-2015 23:56,0
19,1,NULL,01-02-2016,0,4,1,1,9000,NULL,18-01-2015 07:58,0
20,1,NULL,01-02-2016,1,4,1,1,10000,NULL,18-01-2015 23:53,0
21,1,02-02-2016,15-03-2016,0,4,1,1,10000,NULL,18-01-2015 23:54,0
22,1,02-02-2016,15-03-2016,1,4,1,1,11000,NULL,18-01-2015 23:54,0
23,1,16-03-2016,18-03-2016,0,4,1,1,11000,NULL,18-01-2015 23:56,0
24,1,16-03-2016,18-03-2016,1,4,1,1,12000,NULL,18-01-2015 23:56,0
